NAME,DESCRIPTION,Name_cluster,Desc_cluster,
AFS Purpose Driven Partnership (PDP),"Facilitates countrywide referral form process between EA/EFS/FSL, home office, and regions",,,
AFS QuickLinks,AFS QuickLinks is a collection of web applications developed by AFS. It also provides links to various internal and external applications.,,,
AFS QuickView,AFT Broker Dealer Quickview application provides agents a view to track their book of business,,,
AFS RegEd Feeds,RegEd is an existing 3rd system/service used by Allstate Financial (AF) to obtain the producers Life Insurance specific state suitability and carrier specific training/licensing requirements information (as data feed).,,,
AFS Sales Database,"Regional Sales Database reporting environment for all products sold by the Allstate Agent. Populated by RALIE with Production Credit, Premium Deposits and Policy Counts",,,
AFT Balance and Control Application,Balance and Control applicaiton stores the predefined Control Specifications and Runtime Instances for AbInitio. AbInitio graphs log runtime data based on the predefined controls set in a Oracle DB,,,
AFT Bravo,AFT TPM Bravo Intranet Service Website,,,
AFT Build Metrics Tool,This home grown reporting tool is used generate reports on the Release Team activities. These reports are used to create and publish metrics/dashboard on AFT Releases to Senior Management and internal customers.,,,
AFT Business Intelligence Delivery (BID),"For AFT Business Objects, Dashboard Requests, Site Catalyst reports or from the following source systems Atlas, Cyberlife, RALIE and Transcend.",,3,
AFT CAPS OU Image Merge,"Processes Data files from Image & Workflow, Eclipse and Corr Wizard and embed them into Life Policy Page documents. CAPS (Computer Assisted Publishing Services) Image merge Output Unification prepares image files to be merged/print ready for policy page creation. The application converts images/documents into IOCA format and loads them into Oracle to be later merged to the policy images.",,3,
AFT Competency Model,AFT TPM Shared Intranet Competency Model Web Site. This application is used by AFT line managers during year end performance appraisals.,,,
AFT EMAIL PROCESSING XENOS,"Converts DCF output to PDF output. The output is agent information and is emailed to Creevy, Karen (State Filings). Job PEUQ0014 on the USYS associated with this application used by Kathy Kavanagh in Lincoln. TRIGGERED UPON RECEIPT OF FILE: XCOMTRAN.COMPLIAN.EMAIL BY XCOM",,,
AFT EMC LEGATO/EMAIL RETENTION,"Application used to fulfill SEC and NASD email archiving and discovery requirements. The email retention system now is ZLUA. However, some old email may still be in LEGATO. The only aspect of this application that is active is the generation of AD Distrbution Lists and reports related to these distribution lists and agent hierarchy data. The Distribution Lists are used by ZLUA to ensure that the correct rep management reviews email for any given rep. The reports are available via AFS QuickLinks application. Planning to retire: Replacement available with Exchange 2010 migration TBD.",,3,
AFT Image and Workflow DB Farm,AFT Image and Workflow Database Tier (Farm),,,
AFT Incident Notification,AFT TPM Incident Management Intranet Web Service. Internal systems outage/incident notification system.,,,
AFT INTEGRATION,Charge back entry for AF,,,
AFT INTEGRATION COMMON SERVICES,UNIX/Oracle DB for AFT Integration Common Services,,,
AFT INTEGRATION DB,This is the operational database use by AFT Integration.,,,
AFT MSMQ AND LOGGING LISTENER,Microsoft messaging services and AIC .NET logging services for AFT,,,
AFT Operational Data Store (ODS),AFT Operational data store database(ProdConODS) use for Access Allstate.,,4,
AFT Operational Reporting Data Store (ORDS),Internal reporting database with historical information up to 2years+,,,
AFT OTHER,"Used to identify costs that are allocated to AF, to track and chargeback mainframe batch jobs (i.e. server=NB23) that are mapped to AFT OTHER.",,,
AFT Role Based Security Tracking Tool,AFT Role Based Security Tracking Tool. This is a compliance tool for tracking who has access to what (on major AF systems).,,,
AFT SalesForce.com Database,AFT SalesForce.com Database is an Ab Initio project (routine) that takes the data that needs to be loaded to Salesforce each day is placed in the staging table that TIBCO picks up and loads into the Salesforce vendor database.,,,
AFT Shared Citrix,"A shared AFT Citrix Farm for mulitiple AFT applications consuming the environment. It comprises of a mixture of dedicated citrix servers (for offshore BPO), general purpose citrix servers(supporting remote workers and telecommuting) and general test servers.",,4,
AFT Tech Tools,Web portal application providing access to various internal facing tools (e.g. log viewers and healthcheck diagnostic tests) and links used in the Producer Connectivity web development area (e.g. test environments).,,,
AFT Technology Management Services (TMS) Website,"The TMS Website now only comprises of the Support center. (Some informational pages were moved to my desktop). The Support Center is used to raise support requests for TMS applications such as PMT, BRAVO, Estimation Tool or RCP. http://aft/tms/Secure/SupportCenter.aspx",,,
AFT VASA Request,"The VASA forms vault is the Security/Voice application related to a New User, User Change, Termination, Name Change or Move request within Allstate Financial.",,4,
AFT-IPE,"AFT's Integrated Project Estimation tool automates many tasks for the PM related to gathering and analysing estimates, contouring and generating RCP requests.",,4,
AFT-IQS,"This web service application service enables quotes and illustrations for AFT products. It offers Quotes, Illustrations (i.e. PDFs) and Rate Class Estimation. IQS replaced True Term Calculator.",,4,
AGB AGENT REMITTANCE REPORTING,AGB (Agent Group Banking) and Agent Remittance Reporting Application.,,,
Agency Achievement Bonus,"Provide the agency with the estimated Agency Achievement Bonus during the first 11 months and the final bonus amount in the December report. A web-based report & what-If tool with links from Agency Gateway, Agency Business Result, & SMART Reports. Bonus report is calculated using CSRP data. Can input agency projections to determine how various scenarios will impact their bonus. (RETIRED on 2/28/07. Report data must remain available)",,,
Agency Computer Analysis,This application is to be used by agents and supporting vendors to determine next steps to take on current hardware in the agent's offices as part of the ADR program,,4,
Agency Data Mart,"The ADM supports reporting needs (Snapshot, stoploss) and business functions (profit sharing)",,4,
Agency Economics Annual Bonus ADW Tactical,Data store for CSRP annual bonus metrics for RFG until the ADW - AE application takes over that responsibility in 2015. (ADW stands for Allcorp Data Warehouse),,4,
Agency Gateway Authoring,Application supporting authoring of content in Agency Gateway using team site.,,4,
Agency Goals and Bonus,"RFG is a business initiative that was developed in 2005 to recognize and reward agencies that achieve balanced performance. This system produces a consistent point-based measurement using Agency Retention, Profitability and Growth (P&C, PIF & AF Production Credit).",,4,
Agency Master File,Application/interface used to pull Encompass Branch Producer Code,,4,
Agency Portal,The ATS Portal will be the single entry point for all Protection EA and EFS agent applications,,4,
Agency Profile Web Service,"Provides information about the agent and staff and their relationship to the calling applications This is a web service that provides agency information such as agent name, agent type, Agent-staff information, agent licensing information etc",,,
Agency Routing IVR DTMF,This application routes customer calls for 1-888 Allstate to their agent.,,4,
Agency Sales EDMS,.NET application that calls EDMS to retrieve documents for internal users.,,4,
Agency Splash Page,Web site for agents that displays static links to key applications and urgent messages.,,4,
Agency Staff Data Tool,"Provides information about the agent and staff and their relationship to the calling applications. ASDT is an application for the agents to maintain data about their support staff. This includes information on their NT Ids, names, addresses, etc. It is also the central point of Id admin for many systems such as IMPACT, AG, LRN, APRS, and with release",,4,
Agency Staff Data Tool Reports,"Reports information from the system of record for all EA and EFS support staff. The data is maintained by the Agency Staff Data Tool [ADST], an interface used by home office personally for DATA purposes. Provides Exclusive Agents reports on data contained within the ASDT application such as terminated staff, detail verified, licensing validation and suspension reports.",,4,
AGENCY STATUS REVIEW,IA review to provide the Agency an assessment of it's business results. This is for 2008 only.,,,
Agency Transition Allowance,ATA calculates and distributes one-time and/or annual payments to EAs countrywide (including NJ) to assist them with their technology expenses. Payment calculations may vary for different EA scenarios.,,,
Agency Website (AWS),"AWS displays information that would be of use to a customer wishing to visit an agent in person, such as address, contact details and a location map. It also allows the agent to display personal information and establish their business credentials to the customer. Agent Website's information is managed through the seperate application AWM. All information displayed is entered in the AIM system. A batch job runs weekly and""picks up"" the data relating to each agent which is then transferred to the AWS system.",,,
Agency Website Management (AWM),"AWMâ€™s primary purpose is to provide agent (i.e. producer) and agency related data to many applications including the Agent Locator, Agent (AWS) and Exclusive Financial Specialist (EFS) websites.",,,
Agency Works,"MBA and iPipeline related, feeds etc.",,,
AGENT CHANGE LETTER,Multi platform query tool that queries data and produces output. It can stratify volumes of data based upon selected fields and it can identify out-of-pattern items. Adhoc reporting capabilities. Can send out letters when agent info changes,,,
Agent Claim Status,Provides claim status information to both agent and CIC reps. Originally believed to be mainframe bu tserver based - coming off IMT servers going to old CAT servers,,,
AGENT COMPENSATION SYSTEMS,"Calculates, pays, and reports on commission and various bonuses. As of 5/01/2011 Agents Comp is running for Canada only",,,
Agent Email: Customer Policy Change Notifications,Sends emails to Allstate Exclusive and Independent Agents about business events occuring with their customers.,,,
Agent Feed,SSIS package to load agent data from SAP,,,
AGENT INCOME PROGRESS REPORTS AIPR,"Reports Agency Income, including commission and bonuses calculated within the Agent Comp System for R3001 (Exclusive Agents), R3000 (EA Trainees), Independent Agents, Canadian Agents and US Employee Agents. As of 5/01/2011 AIPR runs for Canada only.",,,
AGENT INFORMATION MANAGEMENT,"AIMs primary purpose is to provide agent (i.e. producer) and agency related data to many applications including the Agent Locator, Agent (AWS) and Exclusive Financial Specialist (EFS) websites. AIM is a generic term used but mostly associated with batch jobs in our area that loads data received from SAP",,,
AGENT INTERACTIVE,"Allow ordering of external inforamtion and return of external information into Allstate in real time. This application is a series of background asyncronous transactions which shepard the orders to/from the Strategic Partner Acxiom. CICS transactions: DWDN, DWLL, DWMC, DWNV and batch DB2 mainframe jobs prefixed RY",,,
Agent Licensing,View Allstate agents' license data and requirements using Tableau dashboard,,,
Agent Locator,Consumer facing internet application for mapping agents locations,,,
Agent Locator IVR,"Customer facing voice system capability allowing customers to request routing to a local agent. Utilizes the Agent Locator IVR, Agent Locator Service (ALS) and Enterprise Producer Service (EPS) web services along with several other integrated systems to provide this functionality to the CRCW and touch Voice systems.",,,
Agent Locator Service (ALS),Application that provides capabilities to query agents by their location.,,,
Agent Remittance - Reporting,Crystal Reports - Produces countrywide Agency Remittance report,,,
Agent Search,"Claim Services use thiswebsite to search agent by Name, Zip Code, City or Agent number. Job RGCAG2 read in Boat Master File and load to DB2 table DFT_ALL_AGT.",,,
Agent Search database,"The Agent Search Database is used to find Life Agent information by using Agent Database which stores all Life Agent related information. We can perform the search based on many criteria like Agent Number, Agent Name, Agent Fax Number and Agent Zip Code",,,
Agent Staff Lookup Utility,"Is a front end for EPS (Enterprise Producer Service) where the user enters in the agent ID number, and views the agent/agency/staff information.",,4,
Agent Support Call Log,"This Call Log application (used by ASIC & RMBC) allows a phone rep to document and track the calls received from agents and their staff into ASIC and RMBC. Some of the Call Log support features incorporated into the Call log application include collecting the callerâ€™s information, identify actions needed such as follow up and requesting additional help, and documenting the callerâ€™s request.",,4,
Agent Voicemail,"Agent Voicemail is a desktop application directly accessing the Agent Oracle database. The DB-Voicemail team in Diamond Bar, CA, uses this application to maintain the Agent database with such details as ANI (Agent telephone number) as well as updating the Agents voicemail boxes.",,,
AGENTCOMMUNITY.ALLSTATE.COM,Agentcommunity.Allstate.com is a externally hosted Agent Community that enables Allstate Agents to network and exchange information and thoughts.,,,
AIA Forecasting Tool,AIA FORECASTING TOOL is designed to replace Encompass IA Profit Sharing tool.,,4,
AIA Web Portal,"Objective of the project is to improve its current IA portal to be a more informative, dynamic and frequently updated website. Web portal should be a single point access to Allstate quoting, servicing, billing and claim systems. The portal needs to be the source for all communication with the AIA and any information being relayed to customer (e.g., renewal notice, cancellation notice, etc.) must be synchronized and provided to the IA in advance.",,4,
AIC .Net Framework Showcase,The Architecture Services .Net Framework Showcase (application demonstrating use of the framework) and Docsite (documentation and handy links for the framework),,,
AIC Java Framework CTI,Custom application integrated with Avaya AES product used to tie voice and data and the CSR desktop.,,4,
AIC Java Framework Docsite,AIC Java Framework Docsite is an application that contains documentation and handy links for the framework,,,
AIC Java Framework Showcase,The Architecture Services AIC Java Framework Showcase (application demonstrating use of the framework) and Docsite (documentation and handy links for the framework),,4,
AID SANDBOX,"The environment used for AIC Framework testing and Proof Of Concepts. This is to register a sandbox environment for the AIC Frameworks team so that databases and servers can have the correct application name in CMDB. This """"application"""" will actually cove",,,
AIM AGENCY INFORMATION MANAGEMENT,The AWM tool allows agents to customise their agent websites,,4,
AIMGA 1035 Replacement (AFT),"AFT Operations Payout Application. This application is used to verify agent information during calls, making sure the agent is active when talking to them. It is also used to look up and view 1035 information, what we are still needing, what we have received and the stauts of the 1035.",,,
AIMS - Allstate Inventory Management System,"Inventory Management Software used in the APCC, on vendors hardware",,4,
AIP - Allstate Incentive Plan,Applications used to calculate bonus's for bonus eligible employees.,,4,
AIPSO - Auto Insurance Plans Service Office,Consists of an allocation process to allocate the dollars we receive from the Auto Insurance Plans Service office based on the Written Premium driver,,,
AIPSO - High Risk Assignments,AIPSO is an outside company that handles Assigned Risk for New York. This specifically refers to the EADP capability that AIPSO provides.,,,
AIS Applications,Chargeback entry for AIS mainframe jobs,,,
AIS Governance Know Your Security,These databases collect information from end users regarding enterprise education campaigns for information security,,,
AIS Reverification Application,Website and application to handle the AIS Reverification process,,,
AISLookupForms,Used to lookup Groups in Active Directory. Unlike the Ownership Management application this is a basic application which is only a read-only web site used by the ACA Admin Team for looking up Group info.,,,
Ajax Uploader v3.0,Advanced ASP.NET upload component,,,
Alacrity Services LLC-Externally Hosted,Alacrity is an online Independent Contractor Network in the direct repair service industry.,,,
Aladdin CDS Curves,Application to produce daily upload of Muni CDS Spreads to be uploaded to BlackRock.,,,
ALERT,This is the balancing sub system of CCPS which creates files for StatMAX. This is really a duplicate of Alert P and C,,,
ALERT COMMERCIAL,Allstates Commercial Premium Processing System,,4,
ALERT P AND C,"Allstates Personal Property & Casualty Premium Processing System - this app is a dupe with Alert (keep this, job ID should be AA and AP)",,,
ALERT RESTRUCTURE RADB,Galaxy Alert Restructure Databases - includes CICS (RAxx transactions) and Batch,,4,
Algo Sobol Module,We are looking to evaluate the Sobel module which will reduce the number of scenarios in both market and credit risk and provides better convergence of results.,,4,
Algo Suite v4.5,"Offers integrated and proven enterprise-wide risk management software, services, advisory, and content",,4,
AllBridge,"AllBridge is used to consolidate policy, house hold, agent and financial data to derive Metric's to determine both variable compensation and bonus payments. This is the Ab Intio graphs and console scripts/jobs",,4,
AllBridge UI,"The AllBridge UI enables source data corrections, adjustments and operational reporting with role based security.",,,
ALLCEDE INTERFACES,"Direct claim detail information is """"filtered"""" based on Treaty rules and reformatted and passed to the SAP reinsurance module. Based on Allstate's retention which is specific by treaty the cession or reinsurers share of the claim is calculated and then sent on to the other frinancial databases for management and statutory reporting. This application also handles the detail billing requirements for the NJ UCJF and MCCA involuntary programs.",,,
Alliance,"Front-end policy administration system for all main line policy types (e.g. Auto, Property). Capabilities include Quoting, Binding New Business, and Endorsing existing policies. Specialty lines will also ultimately be migrated to Alliance.",,4,
Alliance Agency,ECC Monitored Alliance implementation for Agency. Note this entry was created to allow daily QA Testing. Alliance Agency is dedicated to Agents/Staff only - 11 Instances of iSeries GEOs,,,
Alliance Build Portal,"The Alliance Build Portal standardizes all Alliance Java builds. The portal allows for consistent build structure for all Ears, War and Jar files.",,,
Alliance CES,"An Alliance implementation dedicated to back office operations â€“ ATSC, CES, RMBC",,,
Alliance CIC,ECC Monitored Alliance implementation for CIC. Dedicated to Call Centers (1-800 Allstate). Note this entry was created to allow daily QA Testing.,,,
Alliance Consumer,ECC Monitored Alliance implementation for Consumers. Dedicated to Allstate.com (NQ2 & My Account). Note this entry was created to allow daily QA Testing.,,,
Alliance Deployment Dashboard,Dashboard will be used by the SE&SM Alliance Deployment team to track production deployment for Alliance.,,,
Alliance Education,ECC Monitored Alliance implementation for Training. Note this entry was created to allow daily QA Testing.,,,
Alliance Get Policy Service,This is the Get Policy Service for Alliance.,,,
ALLIANCE HELP,A standalone .NET application used by Alliance users for the help function.,,,
Alliance Mass Quoting,Allaince implementation used for automated quoting transactions (Current Agency DR Platform is dedicated to this workload),,,
Alliance Production Deployment Application,A set of scripts used to create the Alliance production deployment scripts.,,,
Alliance Quoting Validation Tool,This tool help test the Agents and Support staff to make sure they are giving the Lowest Most Accurate Quote. This help the Education team to where to focuse thier support. This will get package for the Citrix and workstation enviroment for Agents adn Edu employees.,,,
Alliance TDOCS,Produces Legal Trailing Documents for the Agency channel. TDocs are documents required to bind a policy.,,,
Allstate Rewards Tracker,This is a set of Business Works Processes to track Allstate Rewards transactions that are transmitted to Destination Rewards (an external trading partner),,,
Allstate Accounting Datamart,This data mart contains the data subset specifically designed for Accounting.(Please consider ACTDM as a part of the overall datawarehouse.),,4,
Allstate Advantage Account,"3/5/2012, Name is changed to ""Allstate Advantage Account"". With the sale of Allstate Bank, Allstate Financial is partnering with Northern Trust Bank to provide customer with an account to keep their claim benefit so that it can earn interest while customer is going through difficult time. This is solution helps to create necessary data that need to send to Northern Trust Bank and track the beneficiary information",,4,
Allstate Alerts,This product will allow customers and prospects to sign up to recieve alerts from Allstate. These alerts will be about incoming hail damage or other weather related events. The alerts will be sent out via SMS text message.,,4,
ALLSTATE BANK ANNUAL COMPLIANCE SITE,Website provides agent compliance information including annual certification forms.,,,
Allstate Bank Datamart,SSIS package to perform ETL functions on Fiserv flat files,,,
ALLSTATE BANK EXTRANET SITE,Website provides static content for agents including interest rate information.,,,
Allstate Bank Intranet,Web site to display information,,4,
Allstate Brand Central,"Exteranlly hosted website that will act as a tool that will help you create strong, consistent communications that are ""on brand."" Follow the guidelines and use the assets provided when creating Allstate communications",,,
Allstate Brand Central (Nansen),AllstateBrandCentral.com is a web application currently hosted by vendor Live Technology. This site is a portal for marketing elements(logos and templates) and information used by Allstate employees and Agents. The site is accessed by any Allstate employee or approved vendors.,,,
Allstate Brand Central SSO (Single Sign-On),Allstate written front-end single signon to the vended webstie Allstate Brand Central This a Windows application,,4,
Allstate Broker Dealer List,NE App. The application is used to maintain the information for the broker dealers and wholesalers. The application gives all the relevant details for a broker dealer or wholesaler belonging to Allstate.,,,
Allstate CA Teamsite,The Allstate Canada TeamSite application is the content repository and publishing tool for the Allstate Canada customer portal,,,
Allstate Car Care (www.allstatecarcare.com),Allstate Dealer Services Car Care Web site (www.allstatecarecare.com),,,
Allstate Claims Dashboards,"This application replaces older dashboards covering Auto, Property, 1st party casualty, 3rd party casualty, Express, CAT, and self service. Initially it will cover CAT and Self Service.. Ultimately it will cover all and new dashboards as well. EMS supports ths application.",,4,
Allstate Comparative Rater,Pulls information from AS/400 into ADW.,,4,
Allstate CTI Client,The Computer-Telephony Integration (CTI) client is a desktop application that brokers interaction between the voice infrastructure and enterprise application servers for the purposes of support real-time screen pops in the call centers.,,4,
Allstate CTI Monitor,"A desktop application downloaded on-demand via JNLP and launched using Java Web Start technology to workstations belonging to users authorized to launch the CTI monitor. The monitor application is a dashboard-style console providing Architecture Services,",,,
ALLSTATE DBA LEGAL ENTITY SUBJECT AREA,"Batch Jobs - LEB00xxx, LEI999xx, LEKAxxxx, LEQ00035 DB2 jobs created DC DBA's",,4,
Allstate Dealer Services Agent Central,Agent Central allows ADS independant agents to perform presentation and sign ups at the point of sale.,,,
Allstate Digital Locker Android Mobile Application,The Allstate Digital Locker application allows you to keep an inventory of all your personal property - perfectly organized and accessible to you at a moment's notice - on your smart phone or any internet-connected computer.,,4,
Allstate Digital Locker iOS Mobile Application,The Allstate Digital Locker application allows you to keep an inventory of all your personal property - perfectly organized and accessible to you at a moment's notice - on your smart phone or any internet-connected computer.,,4,
Allstate e-Mail,Enterprise E-mail solution with the exception of Agency WebMail,,4,
Allstate Enterprise Monitoring,Allstate Entrprise Monitoring solution (cuurently based on IBM Tivoli Monitoring),,,
Allstate eXtranet Customer information System,Allstate eXtranet Customer information System (AXCiS) is an extranet web application for presenting policy information to authorized users and processing bills. AXCiS is hosted in the Hudson DMZ.,,,
Allstate Facebook Apps,"Ringtone, Mayhem Ringtone, Twitter Mutual Branding, Tag In, Agent Locator",,4,
Allstate Financial Retirement Planner,Consumer facing application for retirement planning. A flash tool. Allstate Retirement Tool gives an overview of the retirement package in the form of graphs based on the inputs or the data provided by the user.,,4,
Allstate Insurance Producer,"CA, NY, and TX stand for California, New York and Texas respectively. This website allows users to to input records where a producer complaint letter is needed.",,4,
Allstate Insurance Producer CA,"CA, NY, and TX stand for California, New York and Texas respectively. This website allows users to to input records where a producer complaint letter is needed.",,,
Allstate Insurance Producer NY,"CA, NY, and TX stand for California, New York and Texas respectively. This website allows users to to input records where a producer complaint letter is needed.",,,
Allstate Insurance Producer TX,"CA, NY, and TX stand for California, New York and Texas respectively. This website allows users to to input records where a producer complaint letter is needed.",,4,
ALLSTATE INVESTMENTS,charge back entry,,4,
Allstate Investments Web Site,Investments website www.allstateinvestments.com,,,
Allstate Measurement System,This application loads customer satisfaction survey results into a DB2 database for analysis. NOTE: This also has mainframe batch jobs prefixed by PPDN and PPHS running,,,
Allstate Mobile Android Application,"Allstate Mobile Application for Android devices. Allow a custmer seft-serv functionality. Examples are: pay bill, view policy, start a claim, find an agent",,,
Allstate Mobile iOS Application,"Allstate Mobile Application for iOS devices. Allow a custmer seft-serv functionality. Examples are: pay bill, view policy, start a claim, find an agent",,,
Allstate Mobile Web,"The Allstate mobile version of the Allstate.com website. Note, this is different than ""Allstate Mobile Application"" - it's a thin client users navigate to in their browsers.",,4,
Allstate Motor Club (AMC) System,"Application with multiple functions including internal/external website, retail member enrollments, and self service for Allstate agents.",,,
Allstate Network Facility (ANF) Transporter - Transaction Systems,CICS-based utility to moe data between CICS systems,,,
Allstate New Business Database,Database of all pending records uploaded daily. Used by Business Community for various reporting features,,,
Allstate New Business Maintenance Application,BAS App. The Allstate New Business Maintenance application is used to compress and back up the Allstate New Business Database database applications.,,,
Allstate Program Transmittal Facility (APTF),"Process to deliver software from Northbrook to the field datacenters. The three phases, managed by Allstates APTF system are: (1) Administrative release, which consists of registering the pertinent modules in a mainframe repository (TCI) of production software, using Allstateâ€™s TCI program; (2) Data release - the physical software package transfer; (3) Installation - moving the modules into a production library",,,
Allstate QuickView 1.0,NE App,,,
Allstate Remittance Processing,Process the premium payments received in MMC (Money Management Centers) and distribute between CPUs; Process Life (LBL and AWD) cash transactions.,,,
Allstate Representative Repository (ARR),"Application to manage Allstate Representative information - Manage names, address, security, licensing, entitlements, etc information regarding a representative of Allstate.",,,
Allstate Representative Repository TIBCO (ARR),"Tibco application to support the management of Allstate Representative information - Manage names, address, security, licensing, entitlements, etc information regarding a representative of Allstate. This application will store Agency and CICS organisational information and will mostly be used by DMEA applications. However, the application itself is being built and supported by CTS.",,,
Allstate Roadside Assistance ARS Corp,http://www.allstateroadsideservices.com - External ARS Wensite,,,
ALLSTATE ROADSIDE SERVICES ORACLE PODS,Oracle Pods for ARS,,,
Allstate Scoring Platform,Scoring platform is the foundation for all predicitve modeling operations in Prod Ops.,,4,
Allstate Young Driver Reports,This is a website that provides reports on the Allstate Young Driver application.,,,
allstate.ca,Home page for Allstate Canada on the internet,,,
Allstate.com,"Content-managed consumer website for Allstate. Used as an umbrella term, this may also refer to the Spanish language version (miallstate.com) and various subsidiary microsites.",,,
AllstateCodeOfEthics.com,Web site for the Allstate Code of Ethics,,,
ALLSTATEDEALERSERVICES.COM,Agent Website for ADS,,,
AllstateNow Mobile,A mobile application presenting AllstateNOW published information onto a mobile platform. 3rd party developer,,,
AllstatePrinters,Provides a portal to listing of available printers by locations. The domain alias is being moved to point to EISWeb.allstate.com. The site is administered via an XML file located on a share specificed in the web.config. http://allstateprinters,,,
AllstateTeenDriver.com,AllstateTeenDriver.com website,,,
AllstateTV,Allstate TV is an internal website used to host and publish streaming media to Allstate employees.,,,
Allstreet,"Allstreet is the investment department intranet site where links to applications, department level data and documents are stored and presented.",,4,
ALM,ALM (Asset-Liability Management) for Life Company,,,
ALM DA Automation,ALM automation tool for analysis of Deferred Annuity (DA) product.,,4,
ALM MODELING,"ALM (Asset-Liability Management) customer will be able to run Earnings at Risk (EaR) models within 7 days, perform top-side aggregate accounting, and analyze output data in pre-defined and ad hoc reports.",,,
ALNY BD List,Used as a reference in the licensing area while setting up agents. Agents are related to Lincoln Benefit Life and are under MBA Channel,,,
ALPHA INDEX,"This represents the Onlines CICS mainframe transactions AIxx and LHxx which are running in CICSP101 (USYS), CICSP122 (Commercial prod) and ALSCMM11 (Motor Club Legacy online). The Alpha Index (RAF0P) update is based on changes to customer name/address data (RAP05) in the Conversion environment as well as NOVA. NOVA and CIS Visuals utilize the AI Database Index to access policy premium data in alphabetic order",,,
ALSTAR,"Allstate Point of Sale System - Endorsements for Auto/Property, New Business for Specialty Lines and various Agency utility functions",,4,
ALSTAR Error Log,Complies a list of the Allstar Error list generated on IL Cyber life. The database is uploaded daily (automatically via a mainframe script) with information extracted from the Cyber life online file.,,,
ALSTAR Remit,Send motor club transactions from ARS to Alliance,,4,
Altair STAR Portal,"Altair provide managed physical relocation services for employees, including assistance in location housing, handling tax affairs, relocation possessions and managing travel. It does not interface with any Allstate Apps and is hosted on the vendors hardware.",,4,
ALUF,Add on to APTF System. Updates the Acceptance testoing (Model region) libraries on the mainframe ASYS with modules that were transmitted to production.,,4,
AMP Direct Services (Allstate Winter Promo),"Allstate Canada - Winter Promotion. AMP Direct Services will promote Allstate Canada on the internet by creating a marketing banner and web page with online contest. Prospects visiting the Allstate Winter promo webpage that is being advertised through online banners would also be encouraged to share the Allstate Winter promo details with their family and friends through facebook, Twitter or e-mail.",,,
AMS BOB Download,New Agent Book of Business Download to AMS. The BoB Download project provides the policy data (and some customer info) for Allstate polices to the AMS. The data is loaded into the AMS database tables from this load. BOB data is download on daily to RMS for subscribing agents.,,,
Analysis Project Best Practices,Legacy web application for implementing project best practices. Functionality currently in the Project Management System application will likely become part of this application.,,,
Analytica,This is a cross asset analytical application based in SQL Server.,,,
Andrew Davidson,Analytic software for fixed income investment management,,,
ANI CAREERS APPLICATION,Allstate Northern Ireland. This is an application which will advertise jobs to external applicants,,,
ANI Library,This is a library application for internal use within ANI. It is intended to record the lending of the library's books and associated reservations. Users will be able to find out whether a book is available and to place a reservation for a book. A librarian will also have an administrative role.,,,
ANI Partnership Survey,Tool whose purpose is to collect feedback from the partners/clients of ANI teams,,,
ANI PT Internal Work Tracking,Set of Access front-ends used to update and report on ANI PT work tracking data held in SQL tables.,,,
Annual Electronic Compliance,Application that allows employees to read the Allstate conditions for employment and agree to meet them. The agreement information is saved as well as any exception details specified by the employee.,,,
AnnualClassification,Risk Analysis website for classifying Org Resources.,,,
AOTemail,A web site for agents to send messages into the Region - http://road/aotemail,,,
APACS,Allstate Dealer Services administration system,,,
APAD - Allstate Promotion and Distribution,"Internally developed web-interface to SMS. It automates SMS package creation, collection creation, and advertisement creation. It provides an interface to allow for initiation of machine deployments",,5,
APAY,"Application used to approve invoices and check requests. Initially developed by Readsoft, but Operations Technology Enablement maintains the source code.",,,
APCC Progistics/Connect Ship,"Projgistics is a 3rd party shipping system used to process our out going shipments each day. It interfaces with SAP to accept order data, close orders when shipped, decrement inventory and provide tracing information to our Customer Service group.",,,
Apex Data Loader,"Data management tool that can perform large uploads of data, mass updates, mass deletes, and exports of Salesforce records.",,,
APG - Agent Remittance,"Brings Agent Cash statistics at a transaction level from Agent office and CIC. Creates various Agent Remittance reports for daily accounting balancing processes. Creates and sends the interface data to SAP, PEP+, AGB and IPS.",,,
Aplifi OneView V1.0,"Aplifi provides data aggregation, including Pending Case Status and Commission Statements, for MBAs.",,,
Applixware v4.4.1,Unix based spreadsheet that is used for annuity calculation also used in generating the policy documents such as policy pages from Transcend policy administration system.,,5,
APPONLINE,Producer Connectivity application which allows agents to submit application on line,,,
APRS - Automated Password Reset System - Agent,"Enables an automated way for agents and staff to reset their Windows (NT), mainframe, AS/400, SAP passwords using natural language.",,5,
APRS - Automated Password Reset System - Employee,"Enables an automated way for employees to reset their Windows (NT), mainframe, AS/400, SAP passwords using natural language.",,5,
APS - Accounting and Print Services,Report runs monthly to Provide a view and print features of SAR lists 30B and 21G.,,,
APS - Assignment Processing System,"The Copart Assignment Processing System will help Allstate sell vehicles that have been classified as a total loss (at this time, Encompass Claims does not use this)",,,
APU PartsNetwork,"Allstate auto body shops currently use a variety of methods to identify and acquire alternative (used) parts to use in repairs, as part of the Allstate field and drive-in auto estimating workflow. The Auto PDM team have identified a web-based product which will allow this to be done through a single vendor , simplifying the process for shops. Resides on vendors hardware. Basically eBay for auto parts.",,5,
Arbitration Forums,Arbitration Forums (AF) is the US's largest membership-driven organization that provides arbitration and subrogation services. Resides only on vendor hardware,,,
